patent|abs|title1
09534541|A gas turbine engine is presented. The gas turbine engine includes a control unit having a first bypass channel that is coupled between an outlet of a first turbine and an inlet of a second turbine. Further, the control unit includes a second bypass channel coupled between a first outlet of a compressor unit and the inlet of the second turbine. Additionally, the control unit includes a first control valve coupled to the first bypass channel and configured to direct at least a first portion of exhaust gas from the first turbine to the inlet of the second turbine via the first bypass channel. Furthermore, the control unit includes a second control valve coupled to the second bypass channel and configured to direct at least a first portion of compressed air from the compressor unit to the inlet of the second turbine via the second bypass channel.|System and method for improving efficiency of a gas turbine engine
09534580|A fluid turbine blade and method of fabrication are provided. The fluid turbine blade includes a centrally disposed longitudinal spar having a substantially circumferential cross section. The fluid turbine blade also includes at least one chord stiffener coupled to the longitudinal spar. The fluid turbine blade further includes a torsionally compliant segmented skin coupled to the at least one chord stiffener. The centrally disposed longitudinal spar and the torsionally compliant segmented skin are functionally decoupled to relieve the torsionally compliant segmented skin of one or more of a flapwise load condition, an edgewise load condition and a torsional load condition.|Fluid turbine blade with torsionally compliant skin and method of providing the same
09534581|Embodiments related to wind turbines and methods of guiding a flow of a fluid using a wind turbine. In one embodiment, a wind turbine includes a framework including an annular upper guide means and an annular base guide means; and an annular rotor assembly surrounding a central space, the rotor assembly comprising a plurality of rotor vanes, each rotor vane being held in position between the upper guide means and the base guide means.|Vertical axis turbine
09534931|An encoder includes a first rotator connectable to a rotating shaft and including a first pattern, and a first detection unit positioned at a non-rotatory member and configured to detect the first pattern. The encoder also includes a second rotator connectable to an output shaft that is rotatable around a predetermined axis and is configured to output rotation caused by the rotating shaft. The encoder also includes a second detection unit positioned at the non-rotatory member and configured to detect the second pattern, and a reference unit configured to position the first detection unit and the second detection unit by a common position reference.|Encoder, encoder installation method, torque-limiting mechanism, driving apparatus, and robot apparatus
09535420|A method for accurately tracking and controlling robots includes capturing a first image of a first matrix code labeled on a first mobile robot at a first time by one or more stationery cameras, wherein the first matrix code is encoded with an identification that uniquely identifies the first mobile robot, correcting a tilt of the first image to produce a first corrected image that shows the first matrix code in a substantially rectangular or square shape, extracting the identification to uniquely identify the first mobile robot, calculating a first position of the first mobile robot based on the first corrected image by a computer system, and controlling a movement of the first mobile robot based at least in part on the identification and the first position of the first mobile robot.|Matrix code symbols for accurate robot tracking
09535421|A mobile robot can include an elongated body disposed in a vertical direction and having an approximately cylindrical shape; a user interface within an upper 20 centimeters of the body and inclined to be accessible from above and in front of the robot; at least one depth sensor that is mounted at or near a top of the body and having at least one field of view; at least one container formed within the body; and a drive mechanism disposed within the body.|Mobile delivery robot with interior cargo space
09535480|A method of controlling power in a hybrid energy storage system that may include controlling power through the at least one battery storage element and the capacitor storage element using a multi-level power management system. In some embodiments, the multi-level power management system includes at least a long term battery management layer and a real time power management layer. The long term battery management layer can be for estimating and managing a life cycle for the battery. The real time power management layer can be for managing power sharing between the at least one battery storage element and the at least one capacitor storage element at each time instant dependent upon adjustments to battery performance based upon the long term battery management layer.|Power coordination system for hybrid energy storage system
09535920|The present invention generally relates to storing sequence read data. The invention can involve obtaining a plurality of sequence reads from a sample, identifying one or more sets of duplicative sequence reads within the plurality of sequence reads, and storing only one of the sequence reads from each set of duplicative sequence reads in a text file using nucleotide characters.|Methods and systems for storing sequence read data
09535960|A search engine is described herein for providing search results based on a context in which a query has been submitted, as expressed by context information. The search engine operates by ranking a plurality of documents based on a consideration of the query, and based, in part, on a context concept vector and a plurality of document concept vectors, both generated using a deep learning model (such as a deep neural network). The context concept vector is formed by a projection of the context information into a semantic space using the deep learning model. Each document concept vector is formed by a projection of document information, associated with a particular document, into the same semantic space using the deep learning model. The ranking operates by favoring documents that are relevant to the context within the semantic space, and disfavoring documents that are not relevant to the context.|Context-sensitive search using a deep learning model
09535980|A mechanism is provided in a question answering system for duration similarity weighting in a question answering system. The question answering system receives an input question. The question answering system generates a plurality of candidate answers to the input question using a corpus of information. The question answering system identifies a question-side duration value for the input question and identifies a policy-side duration value for a policy to be applied to an entity identified in the input question. The question answering system determines a duration similarity weight for each of the plurality of candidate answers. The question answering system applies the duration similarity weight to each of the plurality of candidate answers. The question answering system ranks the plurality of candidate answers and outputs one or more of the candidate answers.|NLP duration and duration range comparison methodology using similarity weighting
09536050|According to an aspect, influence filtering in a graphical model includes accessing the graphical model in a data store. The graphical model includes a plurality of nodes connected by edges having edge strengths representing a degree of relation between the nodes. A target relation strength for a pair of nodes in the graphical model is received. An edge strength of an edge in a direct path between the pair of nodes is determined by traversing, in the graphical model, one or more paths other than the direct path between the pair of nodes. The determining also includes estimating a cumulative strength of the traversed paths, and calculating the edge strength for the edge in the direct path based on the cumulative strength of the traversed paths and the target relation strength. The calculated edge strength is assigned to the edge in the direct path between the two nodes.|Influence filtering in graphical models
09536190|A method for dynamically modifying synaptic delays in a neural network includes initializing a delay parameter and operating the neural network. The method further includes dynamically updating the delay parameter based on a program which is based on a statement including the delay parameter.|Dynamically assigning and examining synaptic delay
09536191|Methods, systems, and apparatus, including computer programs encoded on computer storage media, for reinforcement learning using confidence scores. One of the methods includes receiving a current observation; for each of multiple actions: determining a respective value function estimate that is an estimate of a return resulting from the agent performing the action in response to the current observation, determining a respective confidence score that is a measure of confidence that the respective value function estimate for the action is an accurate estimate of the return that will result from the agent performing the action in response to the current observation, adjusting the respective value function estimate for the action using the respective confidence score for the action to determine a respective adjusted value function estimate; and selecting an action to be performed by the agent in response to the current observation using the respective adjusted value function estimates.|Reinforcement learning using confidence scores
09536200|An approach is provided to use natural language processing (NLP) to analyze data logs. In the approach, a data log is analyzed with the data log including a number of entries. The analysis performed includes performance of a sentiment analysis of the entries using natural language processing. The result of the sentiment analysis results is a sentiment score. Entries from the data log are then visually highlighted based on their corresponding sentiment scores.|Sentiment analysis of data logs
09536201|A method to identify a relationship between at least pairs of variables in a dataset generates a novel measure of dependence, referred to as a Maximal Information Coefficient (MIC), that captures a wide range of interesting associations (not limited to specific function types such as linear, exponential or periodic, or to all functional relationships), and that gives similar scores to equally noisy relationships of different types. MIC is based on the idea that if a relationship exists between two variables, then a grid can be drawn on a scatterplot of the two variables that partitions the data to encapsulate that relationship.|Identifying associations in data and performing data analysis using a normalized highest mutual information score
09536361|Methods and systems for a vehicle system that include determining whether a vehicle action is necessary and providing a notification to predetermined users. Sensors provide signals to a sensing control system to generate the notification.|Universal vehicle notification system
09536870|An electrostatic discharge protection circuit is disclosed. A method of manufacturing a semiconductor structure includes forming a semiconductor controlled rectifier including a first plurality of fingers between an n-well body contact and an anode in an n-well, and a second plurality of fingers between a p-well body contact and a cathode in a p-well.|SCR with fin body regions for ESD protection
09537371|The present invention provides a system for a contra rotor wind turbine system comprising of dual aerodynamic rotors composed of plurality of either radially extended blades or axially extended helically contoured blades. The blades on the upwind or the outer rotor are set to spin in the first direction about the outer shaft, while the blades on the downwind or inner rotor are set to spin in a second direction about the co-axially mounted center shaft. Each rotor drives a digitally controllable positive displacement pump unit to convert the kinetic energy of the rotor to the fluidic potential energy. The potential energy of each rotor is compounded to achieve net potential energy. The net potential energy is stored in a fluidic reservoir and used by a hydraulic motor to drive an electrical generator. The hydraulic pump and the motor units are provided to maintain uniform rotational speed and torque.|Contra rotor wind turbine system using a hydraulic power transmission device
09537431|This disclosure discloses a brake diagnosis device configured to diagnose a brake of a motor with a brake. The brake diagnosis device includes a brake control part, a diagnosis part, and a signal output part. The brake control part is configured to actuate or release the brake. The diagnosis part is configured to diagnose a presence or absence of an abnormality of the brake while the brake is actuated by the brake control part. The signal output part is configured to output a signal related to a brake abnormality after the brake is released by the brake control part in a case that the diagnosis part diagnoses the brake as having an abnormality.|Brake diagnosis device and brake diagnosis method
09539731|Systems and methods relating to a clutch system for use in controllably transmitting torque from an input shaft to an output shaft. The clutch system has a torque transmission fluid that has a viscosity that changes based on the strength of an electromagnetic field passing through the fluid. A number of sensors are placed at different radial locations on the torque transmission disks to detect the strength of the electromagnetic field. Based on the strength of the electromagnetic field, the amount of torque being transmitted from the input shaft to the output shaft can be adjusted. Also disclosed is a distributed actuation architecture that uses this clutch system. The distributed actuation architecture allows for the use of a single drive motor in conjunction with multiple instances of the clutch system to actuate a mechanical linkage, such as a robotic arm.|Magneto-rheological clutch with sensors measuring electromagnetic field strength
09540060|A robotic device includes multiple sprockets coupled to a tread module. The robotic device also includes multiple first drive gears coupled to a drive shaft gear of the tread module. The robotic device further includes a second drive gear coupled to a carousel gear of the tread module.|Omni-directional treads
09540091|A high altitude lighter-than-air (LTA) system can include a zero-pressure balloon (ZPB) attached in tandem with one or more variable ballast air super-pressure balloons (SPB). The ZPB provides lift for the system while the SPB uses a centrifugal compressor to provide a variable amount of ballast air by pumping in or expelling out ambient air. A solar array coupled with an elongated ladder assembly can be coupled to a payload support for a payload carried by the LTA system. Various advanced performance targets relating to ascent rate, descent rate, range and maximum altitude are achievable with various scaled versions of the basic design of the LTA system. Advanced navigation and control techniques, such as efficient high altitude station-keeping approaches, are made possible with the LTA system.|High altitude balloon systems and methods
09540100|A control system configured to control an acceleration of an air vehicle which comprises a tiltable propulsion unit that is tiltable to provide a thrust whose direction is variable at least between a general vertical thrust vector direction and a general longitudinal thrust vector direction with respect to the air vehicle, the control system comprising: (a) an input interface for receiving information indicative of a monitored airspeed of the air vehicle; and (b) a control unit, configured to issue controlling commands to a controller of the tiltable propulsion unit for controlling the acceleration of the air vehicle.|System, a method and a computer program product for maneuvering of an air vehicle
09540101|A vertical take-off and landing (VTOL) aircraft according to an aspect of the present invention comprises a fuselage, an empennage having an all-moving horizontal stabilizer located at a tail end of the fuselage, a wing having the fuselage positioned approximately halfway between the distal ends of the wing, wherein the wing is configured to transform between a substantially straight wing configuration and a canted wing configuration using a canted hinge located on each side of the fuselage. The VTOL aircraft may further includes one or more retractable pogo supports, wherein a retractable pogo support is configured to deploy from each of the wing's distal ends.|System, apparatus and method for long endurance vertical takeoff and landing vehicle
09540110|An aeroplane includes an external skin and an internal bulkhead delimiting a cabin, and an escape opening passing through the external skin and the internal bulkhead. The escape opening is closed off by an external escape hatch disposed flush with the external skin. The aeroplane also includes an internal escape hatch that closes off the escape opening disposed flush with the internal bulkhead, and pressure regulating means capable of automatically triggering an opening of the internal escape hatch or a part of the internal escape hatch when a pressure differential on both sides of the internal escape hatch exceeds a determined value.|Aeroplane equipped with an internal escape hatch incorporating a pressure regulating system
09540171|Some embodiments provide a system for fully autonomous order fulfillment and inventory management within a distribution site or warehouse. The system operates by autonomous robots directly pulling customer order items from distribution site shelves or pulling individual bins from distribution site shelves and dispensing appropriate quantities of items from the bins until all items of a customer order are retrieved without human involvement. The system further involves the robots autonomously monitoring item quantities within the distribution site, identifying and autonomously responding to shortages, and organizing the items within the distribution site for most efficient order fulfillment.|Autonomous order fulfillment and inventory control robots
09540920|A method, apparatus, and program product facilitate the automation of an oil & gas process, e.g., a drilling process, through the use of a dynamic phase machine incorporating multiple autonomous agents.|Dynamic phase machine automation of oil and gas processes
09541001|A drive unit includes a combustion chamber for combusting a fuel/air mixture, and a fuel cell device, wherein the fuel cell device includes at least one fuel cell, which in each case includes an anode that is couplable to a fuel line, a cathode that is couplable to an air source, and a fluid outlet and is arranged upstream of the combustion chamber. The combustion chamber further includes a combustion chamber inlet for supplying the fuel/air mixture, and a combustion chamber outlet for discharging exhaust gas, and the combustion chamber inlet is connected to the fluid outlet of the fuel cell device. In this way a hybrid drive unit can be provided which apart from mechanical power also generates electrical power at high efficiency.|Drive unit, method for providing power, and use of a drive unit
09541030|An exhaust plume cooling device for cooling an exhaust gas plume to reduce deleterious heat effects on impinged and surrounding surfaces. The device is supportable in a position downstream of an exhaust nozzle of an exhaust gas plume-producing engine and configured to periodically interrupt the flow of exhaust gases.|Exhaust plume cooling using periodic interruption of exhaust gas flow to form ambient air entraining vortices
09541031|A modulator device for modulating a gas ejection section, includes a shutter member for partially shutting a nozzle throat, a control guide of the shutter member, a main piston, and a primer piston. The control guide is movable between a retraction position for retracting the partial shutter element relative to the nozzle throat and a shutting position in which the partial shutter element is in contact with the nozzle throat. The primer piston is movable between a rest position and a priming position for priming the main piston when the pressure in the modulator device reaches a first predetermined value. The main piston is movable between a first position for locking the control guide against movement in its retraction position, and a second position for locking the control guide when the pressure in the modulator device reaches a second predetermined value less than the first predetermined value.|Device for modulating a gas ejection section
09541060|A windmill blade assembly that is rotated in response to the wind. Each of a first and a second blade member has first and opposite ends and a hub mounting hole located between the ends. The first blade member is located above the second blade member such that the hub mounting holes thereof are axially aligned to receive a hub therethrough. The first and second blade members are turned along the hub or bent so as to provide a pitch that is aerodynamically configured to cause the rotatable blade assembly to spin. The windmill blade assembly is connected by a correspondingly rotatable shaft which extends from the hub thereof to an electrical power generator.|Windmill blade assembly
09541070|The invention provides a plant for production of energy, comprising any type of heat or energy source including but not limited to solar power sources, nuclear reactors, fossil fuel plants, wind power plants, tidal power plants, waste heat power plants and geothermal sources, operatively arranged at an input side of the plant, and heat delivery or energy production means such as turbine-electric generator sets, operatively arranged at a delivery side of the plant. The plant is distinctive in that it further comprises a thermal energy storage with integrated heat exchanger, comprising a solid state thermal storage material, a heat transfer fluid and means for energy input and output, wherein: the storage comprises at least one heat transfer container, solid state thermal storage material is arranged around the heat transfer container, the heat transfer container contains the heat transfer fluid and the means for energy input and output, so that all heat transferring convection and conduction by the heat transfer fluid takes place within the respective heat transfer container, the thermal energy storage with heat exchanger has been arranged inside thermal insulation, and the solid state thermal energy storage with heat exchanger, has been arranged between the input side and delivery side of the plant for storage and heat exchange of thermal energy, the storage is coupled directly or via an additional heat exchanger to the source and the storage is coupled directly or via an additional heat exchanger to the delivery side of the plant.|Plant for energy production
09541151|In various embodiments, a two stage shock strut for use in a landing gear assembly may comprise a first cylinder, a fill port, a first stage piston head, a second cylinder, a second stage piston head, and a bleed tube. The first cylinder may define a first volume. The fill port valve may be in fluid communication with the first cylinder and configured to receive hydraulic fluid. The first stage piston head may be in fluid communication with the first volume. The second cylinder may comprise a metering pin. The metering pin may be in fluid communication with the first volume and a second volume defined by the second cylinder. The metering pin may be configured to receive the hydraulic fluid from the first volume and purge gas from the second volume. The second stage piston head may be in fluid communication with the second volume.|Dual stage shock strut with removable second stage fluid chamber
09541631|A networked system for managing a physical intrusion detection/alarm includes an upper tier of server devices, comprising: processor devices and memory in communication with the processor devices, a middle tier of gateway devices that are in communication with upper tier servers, and a lower level tier of devices that comprise fully functional nodes with at least some of the functional nodes including an application layer that execute routines to provide node functions, and a device to manage the lower tier of devices, the device instantiating a program manager that executes a state machine to control the application layer in each of the at least some of the functional nodes.|Wireless sensor network
09542511|The disclosed embodiments include a method, apparatus, and computer program product for determining a synthetic gas-oil-ratio for a gas dominant fluid. For example, one disclosed embodiment includes a system that includes at least one processor, and at least one memory coupled to the at least one processor and storing instructions that when executed by the at least one processor performs operations that include optimizing a gas-oil-ratio database using a genetic algorithm and a multivariate regression simulator and generating a synthetic gas-oil-ratio for a gas dominant fluid. In one embodiment, optimizing a gas-oil-ratio database using a genetic algorithm and a multivariate regression simulator comprises defining gas-oil-ratio searching boundaries gas-oil-ratio for each gas dominant fluid; assigning randomly a synthetic gas-oil-ratio for each gas dominant fluid in a set of gas dominant fluids in the initial population of gas-oil-ratio data, wherein the gas-oil-ratio for each gas dominant fluid is within the searching boundaries; generating an initial population of gas-oil-ratio data for a set of gas dominant fluids; and evaluating synthetic gas-oil-ratio assignments for the initial population using the multivariate regression simulator.|Synthetic gas-oil-ratio determination for gas dominant fluids
09542621|Spatial pyramid pooling (SPP) layers are combined with convolutional layers and partition an input image into divisions from finer to coarser levels, and aggregate local features in the divisions. A fixed-length output may be generated by the SPP layer(s) regardless of the input size. The multi-level spatial bins used by the SPP layer(s) may provide robustness to object deformations. An SPP layer based system may pool features extracted at variable scales due to the flexibility of input scales making it possible to generate a full-image representation for testing. Moreover, SPP networks may enable feeding of images with varying sizes or scales during training, which may increase scale-invariance and reduce the risk of over-fitting.|Spatial pyramid pooling networks for image processing
09542650|A relational event history is determined based on a data set, the relational event history including a set of relational events that occurred in time among a set of actors. Data is populated in a probability model based on the relational event history, where the probability model is formulated as a series of conditional probabilities that correspond to a set of sequential decisions by an actor for each relational event, where the probability model includes one or more statistical parameters and corresponding statistics, and where at least one of the one or more statistics is determined using a decay function. A baseline communications behavior for the relational event history is determined based on the populated probability model, and, based on a second set of values for the statistical parameters, departures within the relational event history from the baseline communications behavior are determined.|Analyzing behavior in light of social time
09542651|Some embodiments disclosed herein relate to generating fuzzy inferences of procedure types based on fuzzy logic. Membership functions can be used to relate item variables to a degree of correspondence to various item types. Fuzzy rules can specify processing to be conducted using membership values produced by evaluations of membership functions. An output of the processing can include an inference that a content object corresponding to the item variables relates to one or more procedure types. Further, some embodiments disclosed herein relate to querying hierarchical data structures to identify related items. A hierarchical data structure can associate each of a set of procedure types with one or more item types and/or item identifiers or characteristics.|Fuzzy inference deduction using rules and hierarchy-based item assignments
09543680|A contact assembly of a robotic garden tool charging device 10 . The contact assembly 100 is arranged to engage a contact element 200 of a robotic garden tool 20 for a charging operation. The contact assembly 100 comprises a contact member 110 having a plurality of connection points 121 , arranged to provide a plurality of points of contact 30 between the contact member 110 and the contact element 200 . The contact member is configured to be pivotably and translatably connected to a body portion 11 of the charging device 10 . The contact assembly 100 comprises a biasing member 140 arranged to interconnect the contact member 110 and the body portion 11, so as to bias the contact member 110 towards the contact element 200 during the charging operation.|Contact assembly of a robotic garden tool charging device
09544361|A system and method for detecting events based on input data from a plurality of sources. The system may receive input from a plurality of sources containing information about possible events. A method for event detection involves pre-processing and normalizing a data input from a plurality of sources, extracting and disambiguating events and entities, associate event and entities, correlate events and entities associated from a data input to results from a different data source to determine if an event has occurred, and store the detected events in a data storage.|Event detection through text analysis using dynamic self evolving/learning module
09545720|The present application discloses implementations that involve shutdowns of a robotic system. An example may include controlling, by a robotic system, a plurality of motors of the robotic system with a central processing unit (CPU). The example may also include determining, by the robotic system, an error condition of the robotic system, where the error condition prevents the CPU from controlling at least one of the plurality of motors. The example may also include causing a plurality of motor driver boards to control the plurality of motors of the robotic system in response to determining the error condition of the robotic system. The example may also include receiving, by the plurality of motors, one or more commands from the plurality of motor driver boards to move the robotic system to a stationary position and park the robotic system in the stationary position.|Shutdown method by using local control board
09545721|A robotic device includes a first calculation section adapted to calculate a first angular velocity of a first arm operating due to a first actuator provided with a first angle sensor based on rotational angle detection data of the first angle sensor of the first actuator, a second calculation section adapted to calculate a second angular velocity of the first arm taking an arm linkage device as an axis based on angular velocity detection data of an inertial sensor provided to the first arm linked via the arm linkage device including the first actuator, which is a calculation object of the first calculation section, and a third calculation section adapted to calculate a torsional angular velocity between the first actuator and the first arm with a low-frequency component eliminated.|Robotic device, method for controlling robotic device, and computer program
09545990|A floor panel assembly is used with a floor panel retention system that includes a first retaining element, a second retaining element, and a support element. The floor panel assembly includes a floor panel including a first side edge and an opposing second side edge. The floor panel is configured to rest on the support element. The floor panel assembly also includes at least one tab coupled to the floor panel proximate the first side edge. The tab is configured to engage the first retaining element. The floor panel assembly also includes a latch coupled to the floor panel proximate the second side edge. The latch is configured to selectively engage the second retaining element.|Floor panel retention system
09545991|An unmanned aerial vehicle with deployable components (UAVDC) is disclosed. The UAVDC may comprise a fuselage, at least one wing, and at least one control surface. In some embodiments, the UAVDC may further comprise a propulsion means and/or a modular payload. The UAVDC may be configured in a plurality of arrangements. For example, in a compact arrangement, the UAVDC may comprise the at least one wing stowed against the fuselage and the at least one control surface stowed against the fuselage. In a deployed arrangement, the UAVDC may comprise the at least one wing deployed from the fuselage and the least one control surface deployed from the fuselage. In an expanded arrangement, the UAVDC may comprise the at least one wing telescoped to increase a wingspan of the deployed arrangement.|Aerial vehicle with deployable components
09546000|A fixing structure for fixing a seat of a vehicle includes a fixing member which includes a locking section, a buffering section and a restricting section. The locking and restricting sections are provided with a thread for meshing with the thread of the locking passage, and the buffering section has no thread. The fixing seat includes a locking passage and a restricting space connected to the locking passage. The locking member is inserted through the cover and screwed into the fixing seat. When vibrations occur, the locking member will be unscrewed from the locking passage. However, in order to prevent the locking member from fully disengaging from the fixing seat, the buffering section is retained in the restricting space to prevent the thread of the restricting section from meshing with the thread of the locking passage, which prevents disengagement of the locking member in a vibrating condition.|Fixing structure for fixing a seat of a vehicle
09546001|The invention relates to a valve for controlling a fluid flow from a first environment to a second environment, having a frame for disposing a separating element in the region of an opening, said element separating the first environment from the second environment, and a first flap and a second flap for controlling the fluid flow through the opening between the first environment and the second environment, the flaps being movable in the frame. The flaps have protrusions designed to reduce noise generation in the fluid flow.|Outflow valve for an aircraft
